Serial No. of Polling Station,"Ajay
Makan",Trilok chand Sharma,Vijay Goel,Aamer Ahmed Madni,Jitendar Kumar Gupta,Naresh Chander Pal,"Nisha
Bano","Maharaj
Kumar","Murtaza
Phool","Raj Kumar
Nayyar",Rajesh Kumar Sabharwal,Major Sangeeta Tomar,Sanjeev Kumar Mishra,"Sudhir
Kumar",,"Sudhir
Gandotra",Sunita Chaudhar y,Harender,"Harsh
Malhotra",Ajay Prakash Harit,Anil Kumar Gautam,"Ashutosh
Kumar",Kapil Mitra,"Karan
Kumar",Krishan Kumar Tyagi,Ghanshya m Dass,Jagat Singh Chauhan,"Dinesh
Kumar",Prem Narayan Khandelw al,BHAGWA N DAS,B.B. Malhotra,Mantu,"Ramesh
Bhagwat","Lachhman
Dass","Lukman
Khan","Ved
Prakash",Shiban Krishan Razdan,Shiv Kumar Shah,"Sapna
Rani Behl",Surender Singh Dabas,Harkrisha n Das Nijhawan,Total of valid votes,No. of Rejected Votes                                        Total,            Total,No. of Tender Votes
113,412,11,271,2,0,0,0,0,0,0,0,2,0,0,,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,706,0,706,0
114,438,10,241,2,1,0,0,0,0,0,0,6,0,2,,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,590,0,590,0
115,334,4,238,0,0,1,0,0,0,1,0,8,1,1,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,607,0,607,0
116,322,5,271,1,0,0,0,0,0,0,1,4,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,750,0,750,0
117,409,3,325,0,0,0,1,0,0,0,0,1,0,0,,0,7,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403,0,403,0
118,244,5,145,1,0,0,0,0,0,0,0,2,0,0,,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,1,628,0,628,0
119,297,3,309,4,0,0,0,0,0,0,1,5,0,0,,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,2,1,0,1,0,0,0,0,0,1,1,548,0,548,0
120,342,0,190,1,0,1,1,0,1,0,0,6,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,1,0,657,0,657,0
121,354,11,276,3,4,0,0,0,0,0,1,6,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,673,0,673,0
122,378,1,282,1,0,0,0,0,0,0,0,4,0,0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,424,0,424,0
123,243,4,170,0,0,0,0,0,2,0,0,3,0,1,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460,0,460,0
124,213,1,236,3,0,0,0,0,0,0,0,3,0,0,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,435,0,435,0
125,236,3,188,0,0,0,0,1,0,0,0,4,0,0,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,756,0,756,0
126,422,6,317,2,0,0,1,0,0,0,0,1,0,0,,0,1,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,552,0,552,0
